"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
200,0.997,0.9879,0.9992,1,1,1,495,9,1792797,1793457,1792373,2,"YUHS"
300,0.997,0.9879,0.9992,1,1,1,430,7,1792797,1793457,1792373,2,"YUHS"
400,0.997,0.9879,0.9992,1,1,1,189,-5,1792797,1793457,1792373,2,"YUHS"
0,1,1,1,1,1,1,169,17,1792797,1793457,1792373,4,"YUHS"
2,1,1,1,1,1,1,NA,NA,1792797,1793457,1792373,4,"YUHS"
0,1,1,1,1,1,1,169,17,1792797,1793457,1792373,5,"YUHS"
2,1,1,1,1,1,1,NA,NA,1792797,1793457,1792373,5,"YUHS"
50,1,1,1,1,1,1,160,17,1792797,1793457,1792373,5,"YUHS"
81,0.9937,0.9565,0.9991,1,1,1,NA,NA,1792797,1793457,1792373,5,"YUHS"
0,1,1,1,1,1,1,169,17,1792797,1793457,1792373,8,"YUHS"
2,1,1,1,1,1,1,NA,NA,1792797,1793457,1792373,8,"YUHS"
81,0.9937,0.9565,0.9991,1,1,1,NA,NA,1792797,1793457,1792373,8,"YUHS"
100,0.9937,0.9565,0.9991,1,1,1,155,16,1792797,1793457,1792373,8,"YUHS"
200,0.9937,0.9565,0.9991,1,1,1,153,15,1792797,1793457,1792373,8,"YUHS"
300,0.9937,0.9565,0.9991,1,1,1,145,15,1792797,1793457,1792373,8,"YUHS"
0,1,1,1,1,1,1,16,16,1792797,1793457,1792374,1,"YUHS"
11,0.9375,0.8261,1,1,1,1,NA,NA,1792797,1793457,1792374,1,"YUHS"
100,0.9375,0.8261,1,1,1,1,11,12,1792797,1793457,1792374,1,"YUHS"
200,0.9375,0.8261,1,1,1,1,10,9,1792797,1793457,1792374,1,"YUHS"
300,0.9375,0.8261,1,1,1,1,6,7,1792797,1793457,1792374,1,"YUHS"
400,0.9375,0.8261,1,1,1,1,5,-5,1792797,1793457,1792374,1,"YUHS"
500,0.9375,0.8261,1,1,1,1,-5,-5,1792797,1793457,1792374,1,"YUHS"
0,1,1,1,1,1,1,819,16,1792797,1793457,1792374,2,"YUHS"
2,1,1,1,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
5,0.9987,0.9911,0.9998,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
11,0.9974,0.9898,0.9994,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
12,0.9961,0.988,0.9987,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
13,0.9948,0.9861,0.998,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
14,0.9934,0.9842,0.9972,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
49,0.9918,0.9818,0.9963,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
59,0.9902,0.9796,0.9953,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
72,0.9886,0.9774,0.9943,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
81,0.987,0.9751,0.9932,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
100,0.987,0.9751,0.9932,1,1,1,585,12,1792797,1793457,1792374,2,"YUHS"
164,0.9851,0.9723,0.992,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
199,0.9831,0.9694,0.9907,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
200,0.9831,0.9694,0.9907,1,1,1,490,9,1792797,1793457,1792374,2,"YUHS"
213,0.981,0.9666,0.9893,1,1,1,NA,NA,1792797,1793457,1792374,2,"YUHS"
300,0.981,0.9666,0.9893,1,1,1,424,7,1792797,1793457,1792374,2,"YUHS"
400,0.981,0.9666,0.9893,1,1,1,187,-5,1792797,1793457,1792374,2,"YUHS"
0,1,1,1,1,1,1,169,17,1792797,1793457,1792374,4,"YUHS"
2,1,1,1,1,1,1,NA,NA,1792797,1793457,1792374,4,"YUHS"
17,0.9939,0.9575,0.9991,1,1,1,NA,NA,1792797,1793457,1792374,4,"YUHS"
0,1,1,1,1,1,1,169,17,1792797,1793457,1792374,5,"YUHS"
2,1,1,1,1,1,1,NA,NA,1792797,1793457,1792374,5,"YUHS"
17,0.9939,0.9575,0.9991,1,1,1,NA,NA,1792797,1793457,1792374,5,"YUHS"
50,0.9939,0.9575,0.9991,1,1,1,159,17,1792797,1793457,1792374,5,"YUHS"
0,1,1,1,1,1,1,169,17,1792797,1793457,1792374,8,"YUHS"
2,1,1,1,1,1,1,NA,NA,1792797,1793457,1792374,8,"YUHS"
17,0.9939,0.9575,0.9991,1,1,1,NA,NA,1792797,1793457,1792374,8,"YUHS"
100,0.9939,0.9575,0.9991,1,1,1,155,16,1792797,1793457,1792374,8,"YUHS"
164,0.9874,0.9506,0.9968,1,1,1,NA,NA,1792797,1793457,1792374,8,"YUHS"
200,0.9874,0.9506,0.9968,1,1,1,152,15,1792797,1793457,1792374,8,"YUHS"
300,0.9874,0.9506,0.9968,1,1,1,145,15,1792797,1793457,1792374,8,"YUHS"
332,0.9805,0.9409,0.9937,1,1,1,NA,NA,1792797,1793457,1792374,8,"YUHS"
357,0.9805,0.9409,0.9937,0.9286,0.6126,0.9889,NA,NA,1792797,1793457,1792374,8,"YUHS"
